belonging,point1,point2,point3,Final_point
66,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,0.0
70,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0
72,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0
79,1.2857142857142858,1.5806451612903225,2.8111950692442744,5.6775545162488825
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0
83,1.2857142857142858,2.2962962962962963,2.7605266417082857,6.3425372237188675
84,1.2857142857142858,1.5806451612903225,2.5095798464696597,5.375939293474268
85,1.2857142857142858,3.5384615384615383,2.825539552520728,7.649715376696552
86,1.2857142857142858,2.2333333333333334,2.567970056091239,6.087017675138858
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0
90,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0
92,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0
94,0.0,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0
97,0.0,0.0,0.0,0.0
98,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0
110,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0
116,1.2857142857142858,2.2333333333333334,2.913156226411669,6.432203845459288
117,0.0,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0
120,1.2857142857142858,4.0,2.72488122088462,8.010595506598905
121,1.2857142857142858,2.2962962962962963,2.7093190924361856,6.291329674446768
122,1.2857142857142858,0.0,2.5728741027826056,3.8585883884968917
123,1.2857142857142858,5.0,2.6883626989190925,8.974076984633378
124,0.0,0.0,0.0,0.0
125,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
126,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
127,1.2857142857142858,2.125,2.720948645698383,6.131662931412668
128,1.2857142857142858,2.125,2.564846614275084,5.97556089998937
129,1.2857142857142858,3.5384615384615383,2.692013334467894,7.5161891586437175
130,1.2857142857142858,6.2,2.6420412032033305,10.127755488917616
131,1.2857142857142858,1.5806451612903225,2.6054678232064488,5.471827270211057
132,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
133,1.2857142857142858,1.5806451612903225,2.503383622379261,5.369743069383869
134,1.2857142857142858,1.5806451612903225,2.4811702052569116,5.34752965226152
135,0.0,0.0,0.0,0.0
136,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
137,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0
141,1.2857142857142858,1.5806451612903225,2.501206801380585,5.367566248385193
142,1.2857142857142858,1.5806451612903225,2.476455712051342,5.3428151590559505
