name,latitude,longitude
金隅嘉品Mall,39.951739,116.547636
中间艺术区,39.954189,116.230445
长安商场,40.361329,116.843226
上品折扣(五棵松店),39.904179,116.407387
泰禾里,39.713215,116.321447
资和信百货商场,39.904179,116.407387
易事达(孙河店),39.904179,116.407387
世茂广场(工三店),39.935099,116.449383
东环广场,39.937226,116.435968
华创生活广场(林萃路店),40.010122,116.372488
悠乐汇,39.989618,116.476671
亿潼隆万丰购物中心,39.873018,116.296283
久隆百货(酒仙桥店),39.961618,116.494903
隆华购物中心(站前街店),40.127856,116.651133
晓月广场(金瑞天霖购物中心店),39.845492,116.210173
中发百旺商城,40.028943,116.276833
k酷时尚广场,40.032862,116.420089
新业广场,39.857384,116.447081
中福百货(望京店),40.000569,116.463629
蓝岛大厦(朝阳店),39.922391,116.449406
华贸广场,39.909987,116.479971
月恒正大新生活广场,39.87886,116.312742
阳光新城市广场(朝阳路辅路店),39.91519,116.505605
龙域中心西区,40.066496,116.312569
丰联广场,39.923609,116.438511
兆佳商场,39.881834,116.455596
铭泽生活广场,39.864036,116.476869
梦秀欢乐广场,39.993893,116.456687
新世界百货(大望路店),39.904179,116.407387
华威潮铺街,39.910813,116.373122
天键广场,39.752581,116.314638
龙湖西宸广场,39.845051,116.321614
百联清城购物中心(兴华大街店),39.738727,116.331587
九重汇,39.904179,116.407387
百尚生活广场,39.753013,116.544945
复兴商业城,40.141583,116.656921
鑫隆生活广场(阳光好东东店),39.895576,116.678746
盛景国际广场,39.908067,116.202026
朝阳商业大楼(西坝河中里社区店),39.961836,116.439622
京港城生活广场,39.840509,116.414497
航天万源广场,39.802579,116.42355
第5大道精品休闲购物广场,40.003217,116.406931
世纪金源购物中心童兜天地,39.958426,116.28881
华远好天地中心,39.870883,116.695835
和美购物广场(平谷店),40.142858,117.109621
利生体育商厦,39.916601,116.410545
东升La Vie商业广场,39.786474,115.991668
国华商场(宣武门店),39.898964,116.363904
国泰百货(天通苑店),39.904179,116.407387
泛悦坊(西城店),39.87685,116.342952
博泰国际商业广场,40.002243,116.466738
都汇天地(新源南路店),39.904179,116.407387
京饮华天商厦,39.913638,116.341331
星东天地生活购物广场,33.872663,109.931447
旺角购物广场,40.001401,116.463128
贵友大厦(金源店),39.958631,116.288274
玉泉商业生活中心,39.976021,116.252251
工美大厦(王府井店),39.878306,116.455772
京北大世界,40.31532,116.632241
金尚源SHANG,39.948755,116.449212
望馨商业中心,40.009085,116.462133
虎坊路百货商场,39.887693,116.384727
环球新意百货,40.461638,115.975966
北店时代广场,44.399146,131.147677
国泰百货(昌平店),39.904179,116.407387
望京食尚街,39.996655,116.481406
维吉奥广场(弯里中心店),39.86723,116.501323
凯时广场,40.001426,116.339434
活力东方购物广场,39.940526,116.522141
贵友大厦(通州店),39.958631,116.288274
日坛国际贸易中心,39.919265,116.442274
佳亿时尚广场,39.949965,116.458441
首开福茂(长阳店),39.846412,116.427191
瑞城商业中心,39.95025,116.467346
阳光新生活广场(九棵树店),40.103783,116.414384
新世纪商城(三宫庙胡同店),39.904179,116.407387
唐人街购物广场,39.981281,116.390763
燕赛奥特莱斯购物中心(密云店),40.374349,116.84502
李老社区商业中心,39.891105,116.635692
华腾新天地,39.886067,116.487852
华尚金泰广场,39.76148,116.212845
聚乐汇,40.129271,116.640471
天坛生活广场,39.836153,116.319271
佳亿·青年汇,39.921649,116.517166
船洋国际,39.907164,116.65672
中关村广场购物中心B区,39.981229,116.313086
里巷,39.904179,116.407387
亿潼隆丰益购物中心(丰管路店),39.858539,116.302114
北京中大瑞祥百货,39.730593,116.135495
新活馆,39.899797,116.413225
鑫海韵通百货,40.130303,116.650134
富贵园购物中心(广渠门内大街店),39.894272,116.432416
北京菜市口生活购物广场,39.888872,116.367185
华冠天地(房山城关店),39.649172,116.069472
万达广场B座(新华西街),39.906676,116.225913
新一代商城,39.829549,116.285636
TONGLI MARKET同里市集,39.942789,116.697863
国泰良辰百货,39.728751,116.141564
万意百货(回龙观店),40.079674,116.334808
新悦百货(龙山东路店),39.977235,116.484737
金四季购物中心,39.944263,116.271566
东森时尚百货,39.854727,116.427925
港龙商业中心(回龙观西大街店),40.078283,116.331289
潮驿178,40.040231,116.416
恒大城市广场,39.968719,116.532913
玫瑰城购物中心,39.752756,116.337245
环球购物总部,39.904179,116.407387
东方金融中心,39.936251,116.363957
高和萃,39.928049,116.462489
朗福儿童广场,40.377165,116.859365
大兴星城商厦,39.730513,116.338982
国泰谊宾商城,40.13303,116.646405
国泰百货(通州北苑店),39.904179,116.407387
华创生活广场(安立路店),40.010122,116.372488
丰体时代商城,39.867205,116.271118
京妮儿童汇(通州华业店),40.068152,116.415506
亮马国际珠宝古玩城,39.955255,116.476946
隆兴购物广场(昌平区店),40.150391,116.287989
京果商厦,39.96034,116.345804
枫尚奥特莱斯购物广场,40.144868,117.094713
禧乐汇生活主题广场(马连店),24.256342,109.330572
大栅栏第一百货商场(大栅栏商业街店),39.896053,116.396341
金五星商城,40.220913,116.253787
金泰商城,39.955373,116.548012
迪佳广场,39.969007,116.297672
新城商厦,41.139765,114.736398
阳光商厦(府学路店),39.904179,116.407387
华冠天地(长阳店),39.649172,116.069472
米拉广场,39.759978,116.545498
大雄商业中心,39.799612,116.494985
远洋时代广场,39.901306,116.252409
华冠·欢乐城,39.618375,115.964609
鑫海韵通大卖场(石园店),40.109313,116.660453
永兴奥特莱斯购物广场(熙旺中心大厦店),22.317484,114.194018
温榆广场,40.049882,116.561933
乐客安商城,39.996373,116.464383
新七彩商业中心,39.904179,116.407387
极卓广场,39.89169,116.644293
云影电影小镇,39.911055,116.593025
鑫海韵通大卖场(平谷店),40.109313,116.660453
三旗百汇商品城-三厅,40.062464,116.34137
国泰百货(门头沟店),39.904179,116.407387
和平之星亲子广场(和平里中街店),23.157924,113.214916
SOGO新馆,39.896475,116.375389
静安荟,39.95646,116.446057
鑫海韵通大卖场(双兴店),40.109313,116.660453
邓家窑家装购物中心,39.926256,116.628858
世纪家家福生活广场(和义店),39.813541,116.402825
百荣世贸商城B座,39.861066,116.398528
恒源商厦,39.808923,116.155197
提灯街,39.957473,116.466324
共享际(国贸店),39.812044,116.300394
国泰百货(良乡店),39.904179,116.407387
康健宝盛广场,40.036358,116.372707
中踏广场,40.460086,115.976231
北京友谊商店(建国门外大街店),39.909061,116.443216
佳运广场(立军路店),40.046937,116.403999
