,name,longitude,latitude
554,胜达商业(青年路店),116.516878,39.932169
555,航天万源广场,116.42355,39.802579
557,良乡商城,116.142365,39.734862
558,艺苑商场,116.595822,39.978904
559,花乡奥莱村,116.324004,39.827593
560,花园路百货商场,116.365685,39.978673
561,芳圆里ID MALL,116.48788,39.889111
562,苏宁生活广场,116.494646,39.91588
564,苏荷时代商业广场,116.644016,39.891819
565,荟聚购物中心,116.326305,39.789675
566,荣和商业中心,116.562375,40.053215
568,荣祥广场,116.5473055,40.0629919
571,蓝岛大厦(朝阳店),116.449406,39.922391
572,蓝腾购物中心,115.9611,39.726478
573,蓝色港湾,116.4744001,39.9430504
574,虎坊路百货商场,116.384727,39.887693
575,融科天地(融科资讯中心),116.326989,39.983864
576,西三旗万象汇,116.366266,40.061826
577,西关购物广场,116.157626,40.526395
578,西北旺万象汇,116.259961,40.04904
580,西单商场,116.37432,39.912225
585,西单大悦城,116.373528,39.910649
586,西单明珠商场,116.375909,39.910393
589,西单购物中心,116.3742064,39.9112149
590,西宏苑商场,116.3803386,39.8000731
592,西点mall(中鼎大厦店),116.340566,39.967001
593,西直河商业中心,116.527509,39.844175
595,西门怡佳地下商场,116.643683,39.908139
596,西马庄商场,116.568326,39.873203
598,财富购物中心,116.570353,39.803324
599,贵友大厦(通州店),116.288274,39.958631
600,赋霖商厦,116.331514,39.851895
601,超极合生汇,116.292718,40.09693
602,路劲世界广场,116.291906,40.206866
604,达人街商城,116.646,40.12147
606,迎风商场,115.956671,39.730741
607,远洋时代广场,116.252409,39.901306
609,迪佳广场,116.297672,39.969007
610,通厦·康达广场,116.551337,39.923209
611,通厦公元99,116.337194,40.047178
612,通州百货商场一楼营业部,116.667533,39.908798
613,遛99,117.275094,40.652314
614,邓家窑家装购物中心,116.628858,39.926256
615,郎园Park,116.234965,39.909859
616,都汇天地购物中心,116.4604982,39.94938459999999
617,金五星商城,116.253787,40.220913
619,金四季购物中心,116.271566,39.944263
620,金地广场(大望路店),116.474488,39.909108
621,金宝汇购物中心,116.421522,39.915162
622,金尚源SHANG,116.449212,39.948755
623,金时代时尚购物中心(管庄路店),116.591219,39.914062
624,金泉广场,116.414001,40.003077
627,金泰商城,116.548012,39.955373
628,金源时代购物中心,116.279962,39.95262
629,金融街购物中心,116.360332,39.915799
630,金达商场(前门大街店),116.400372,39.899808
631,金锣湾商业中心,115.976321,40.461855
633,金隅嘉品Mall,116.547636,39.951739
634,金马商场,116.5559894,39.7584987
636,鑫海韵通百货,116.650134,40.130303
637,鑫隆生活广场(阳光好东东店),116.678746,39.895576
638,铭泽生活广场,116.476869,39.864036
640,银座mall(东直门店),116.435484,39.940173
641,银座和谐广场,116.297342,39.882318
643,银泰百货(大红门店),116.412259,39.916009
644,锦华商场,116.665517,39.908703
645,长丰园商业中心(南区店),116.287846,39.781461
646,长安商场,116.843226,40.361329
647,阳光新城市广场(朝阳路辅路店),116.505605,39.91519
648,陆港城,116.59289,39.925007
649,隆兴购物广场(昌平区店),116.287989,40.150391
650,隆华奥特莱斯购物广场,116.642237,40.128497
652,雅宝城Y19market,116.441589,39.91830
655,顺中商城,116.650975,40.125989
656,顺义交电商场,116.6524129,40.1370235
659,顺星商城,116.428055,40.132405
660,颐堤港,116.491318,39.969858
661,食宝街(航天桥店),116.310133,39.924142
663,首创奥特莱斯(房山店),116.186584,39.763613
664,首创郎园Station,116.515924,39.968311
665,首开智荟街,116.33791,40.073134
666,首开福茂(长阳店),116.427191,39.846412
667,首航生活广场(七里庄店),116.436855,39.761932
668,香江广场,116.510871,40.024437
669,马泉营购物中心,116.512735,40.036848
670,高和萃,116.462489,39.928049
671,鸿坤广场,116.33977,39.791453
672,鸿豪商业中心,116.44139,39.920961
673,鼓楼商场,116.233177,40.223295
674,龙域中心,116.312569,40.066496
675,龙德广场,116.4152947,40.0593769
676,龙湖北京亦庄天街,116.492452,39.753035
677,龙湖北京北苑天街,116.438524,40.042793
678,龙湖北京大兴天街,116.320202,39.686812
679,龙湖北京房山天街,116.140617,39.74553
680,龙湖北京长楹天街,116.598837,39.924862
681,龙湖星悦荟(颐和店),116.391386,39.986427
682,龙湖西宸广场,116.321614,39.845051
